| Name              | AP         | Recall@K   | B.Accuracy | N_Pos  | N_Neg  |
| climbing          | 0.2722     | 0.1000     | 0.5500     | 10     | 267    |
| cooking           | 0.7298     | 0.6087     | 0.8171     | 23     | 390    |
| cutting           | 0.6161     | 0.5000     | 0.7473     | 18     | 557    |
| drinking          | 0.4472     | 0.3529     | 0.7112     | 34     | 748    |
| driving           | 0.7287     | 0.4667     | 0.6756     | 60     | 387    |
| eating            | 0.7441     | 0.7263     | 0.8262     | 190    | 872    |
| flying            | 0.8982     | 0.8130     | 0.8410     | 123    | 197    |
| grazing           | 0.8178     | 0.7595     | 0.8133     | 79     | 158    |
| hiding            | 0.4144     | 0.0833     | 0.5408     | 12     | 612    |
| hiking            | 0.6185     | 0.5455     | 0.7217     | 11     | 180    |
| hugging           | 0.1665     | 0.0000     | 0.5000     | 10     | 462    |
| kissing           | 0.0409     | 0.0000     | 0.4972     | 7      | 181    |
| paddling          | 0.4411     | 0.4615     | 0.6876     | 13     | 139    |
| posing            | 0.5281     | 0.3505     | 0.6603     | 97     | 716    |
| reading           | 0.4416     | 0.3000     | 0.6462     | 20     | 525    |
| resting           | 0.8442     | 0.8500     | 0.8968     | 60     | 608    |
| riding bike       | 0.7289     | 0.7436     | 0.7970     | 39     | 561    |
| riding horse      | 0.8929     | 0.8929     | 0.9386     | 28     | 575    |
| sleeping          | 0.6907     | 0.5417     | 0.8019     | 48     | 660    |
| studying          | 0.6940     | 0.6364     | 0.8612     | 11     | 410    |
| swimming          | 0.7637     | 0.6923     | 0.8165     | 39     | 867    |
| swinging          | 0.5741     | 0.7778     | 0.8737     | 36     | 395    |
| taking photo      | 0.2967     | 0.2727     | 0.6260     | 22     | 290    |
| talking           | 0.5100     | 0.6000     | 0.6878     | 85     | 270    |
| texting           | 0.3191     | 0.2500     | 0.6222     | 8      | 353    |
| typing            | 0.5872     | 0.3125     | 0.6530     | 16     | 309    |
| using computer    | 0.5773     | 0.6500     | 0.7237     | 20     | 152    |
| using phone       | 0.4749     | 0.3214     | 0.6353     | 28     | 127    |
| waiting           | 0.4508     | 0.4563     | 0.6862     | 103    | 754    |
| working           | 0.4808     | 0.3200     | 0.6325     | 25     | 402    |
| playing baseball  | 0.8749     | 0.6778     | 0.7848     | 90     | 414    |
| playing frisbee   | 0.7409     | 0.5833     | 0.7808     | 36     | 369    |
| playing football  | 0.7288     | 0.5000     | 0.7238     | 20     | 403    |
| playing tennis    | 0.9367     | 0.8358     | 0.8798     | 67     | 424    |
| skating           | 0.6952     | 0.5128     | 0.7530     | 39     | 296    |
| skateboarding     | 0.8883     | 0.8692     | 0.8969     | 107    | 422    |
| skiing            | 0.9055     | 0.7965     | 0.8808     | 113    | 438    |
| snowboarding      | 0.9061     | 0.7500     | 0.8661     | 32     | 224    |
| surfing           | 0.8995     | 0.9130     | 0.9034     | 92     | 301    |
| looking at camera | 0.5824     | 0.3267     | 0.6577     | 101    | 248    |
| looking down      | 0.6661     | 0.4891     | 0.6731     | 92     | 170    |
| looking up        | 0.3580     | 0.1500     | 0.5502     | 40     | 161    |
| backwards         | 0.5926     | 0.5568     | 0.6717     | 88     | 166    |
| clear             | 0.9058     | 0.7746     | 0.7870     | 621    | 511    |
| cloudless         | 0.8801     | 0.7708     | 0.8731     | 48     | 203    |
| cloudy            | 0.9772     | 0.8638     | 0.9073     | 235    | 122    |
| foggy             | 0.7734     | 0.6038     | 0.7519     | 53     | 285    |
| hazy              | 0.4938     | 0.3971     | 0.6134     | 68     | 244    |
| overcast          | 0.7320     | 0.7627     | 0.7891     | 59     | 243    |
| partly cloudy     | 0.4614     | 0.3158     | 0.6596     | 38     | 238    |
| in rain           | 0.7384     | 0.5818     | 0.7508     | 55     | 541    |
| stormy            | 0.8162     | 0.9310     | 0.9001     | 29     | 301    |
| sunny             | 0.7515     | 0.6078     | 0.6781     | 51     | 59     |
| indoors           | 0.8826     | 0.6667     | 0.7973     | 42     | 82     |
| outdoors          | 0.9307     | 0.7108     | 0.7878     | 83     | 45     |
| in the air        | 0.6593     | 0.6327     | 0.7225     | 98     | 227    |
| in the background | 0.8873     | 0.5520     | 0.7141     | 125    | 66     |
| in water          | 0.7491     | 0.7143     | 0.7952     | 42     | 105    |
| on ground         | 0.8877     | 0.8889     | 0.9167     | 18     | 63     |
| on the wall       | 0.8502     | 0.7703     | 0.7759     | 74     | 124    |
| adult             | 0.7715     | 0.4639     | 0.6876     | 97     | 104    |
| aged              | 0.9451     | 0.6190     | 0.8095     | 21     | 37     |
| elderly           | 0.7879     | 0.5789     | 0.7723     | 19     | 69     |
| old               | 0.8234     | 0.6880     | 0.7687     | 250    | 349    |
| young             | 0.8956     | 0.8919     | 0.8003     | 185    | 149    |
| new               | 0.3585     | 0.1765     | 0.5437     | 17     | 66     |
| clean             | 0.7829     | 0.5442     | 0.6921     | 294    | 327    |
| dirty             | 0.5544     | 0.5914     | 0.7073     | 186    | 884    |
| dusty             | 0.7116     | 0.7263     | 0.7838     | 95     | 240    |
| stained           | 0.7462     | 0.5102     | 0.7149     | 49     | 119    |
| soft              | 0.9512     | 0.8000     | 0.7950     | 105    | 61     |
| hard              | 0.8228     | 0.5588     | 0.6854     | 102    | 89     |
| heavy             | 0.5428     | 0.3846     | 0.6146     | 39     | 77     |
| asian             | 0.5735     | 0.4464     | 0.6865     | 56     | 245    |
| caucasian         | 0.6795     | 0.1860     | 0.5311     | 43     | 37     |
| opaque            | 0.6424     | 0.2115     | 0.6288     | 52     | 173    |
| transparent       | 0.8288     | 0.7879     | 0.8025     | 132    | 229    |
| translucent       | 0.5474     | 0.4828     | 0.6581     | 29     | 95     |
| male              | 0.6781     | 0.5102     | 0.6838     | 98     | 211    |
| female            | 0.6639     | 0.6377     | 0.7202     | 69     | 254    |
| jagged            | 0.4436     | 0.4348     | 0.6360     | 23     | 67     |
| moss covered      | 0.5225     | 0.6111     | 0.6734     | 18     | 82     |
| rough             | 0.6908     | 0.6104     | 0.7205     | 77     | 182    |
| smooth            | 0.7179     | 0.6410     | 0.7171     | 117    | 240    |
| textured          | 0.8595     | 0.5217     | 0.7024     | 46     | 21     |
| wrinkled          | 0.7747     | 0.7375     | 0.7551     | 80     | 148    |
| choppy            | 0.8760     | 0.7500     | 0.8042     | 40     | 48     |
| closed            | 0.7248     | 0.6827     | 0.7344     | 208    | 371    |
| cracked           | 0.4807     | 0.5000     | 0.7072     | 30     | 152    |
| dilapidated       | 0.5857     | 0.4000     | 0.6662     | 25     | 109    |
| dry               | 0.8599     | 0.8315     | 0.7896     | 184    | 250    |
| empty             | 0.8344     | 0.7240     | 0.7645     | 384    | 548    |
| folded            | 0.7486     | 0.6623     | 0.7357     | 77     | 177    |
| full              | 0.7706     | 0.7517     | 0.7511     | 145    | 224    |
| open              | 0.8335     | 0.7013     | 0.7226     | 673    | 605    |
| watery            | 0.4673     | 0.0476     | 0.5348     | 21     | 78     |
| weathered         | 0.6686     | 0.6087     | 0.6337     | 23     | 47     |
| wet               | 0.9132     | 0.8207     | 0.8576     | 329    | 537    |
| wearing bow tie   | 0.3092     | 0.2500     | 0.6167     | 8      | 300    |
| wearing glasses   | 0.5465     | 0.4651     | 0.6517     | 86     | 238    |
| wearing hat       | 0.7351     | 0.6707     | 0.6994     | 82     | 128    |
| wearing headband  | 0.3619     | 0.3571     | 0.6101     | 14     | 122    |
| wearing scarf     | 0.4062     | 0.2800     | 0.5938     | 25     | 130    |
| wearing tie       | 0.8227     | 0.8000     | 0.8464     | 40     | 121    |
| with umbrella     | 0.7770     | 0.6923     | 0.8249     | 26     | 188    |
| wearing watch     | 0.2254     | 0.3913     | 0.5305     | 23     | 107    |
| black framed      | 0.5349     | 0.1613     | 0.4241     | 31     | 37     |
| gold framed       | 0.8542     | 0.8462     | 0.7402     | 13     | 45     |
| white framed      | 0.7766     | 0.7857     | 0.6445     | 28     | 44     |
| long haired       | 0.6562     | 0.5484     | 0.6942     | 62     | 157    |
| short haired      | 0.7712     | 0.7917     | 0.7859     | 72     | 102    |
| mesh              | 0.6071     | 0.4286     | 0.6057     | 35     | 68     |
| two-story         | 0.5773     | 0.4545     | 0.7032     | 22     | 83     |
| tucked in         | 0.5354     | 0.6471     | 0.5654     | 17     | 27     |
| paperback         | 0.7305     | 0.9091     | 0.4318     | 22     | 13     |
| graffitied        | 0.6794     | 0.5909     | 0.7839     | 22     | 173    |
| knee high         | 0.2985     | 0.7222     | 0.4594     | 18     | 39     |
| leaf covered      | 0.8970     | 0.6111     | 0.7395     | 72     | 82     |
| cluttered         | 0.6968     | 0.7429     | 0.7327     | 35     | 98     |
| wallpapered       | 0.5293     | 0.2857     | 0.4963     | 7      | 134    |
| sunlit            | 0.7971     | 0.4079     | 0.7101     | 76     | 99     |
| old fashioned     | 0.7171     | 0.5556     | 0.6966     | 27     | 68     |
| statue            | 0.4621     | 0.3548     | 0.6699     | 31     | 199    |
| handwritten       | 0.4075     | 0.5000     | 0.6248     | 18     | 79     |
| still             | 0.6442     | 0.6438     | 0.7011     | 73     | 163    |
| classical         | 0.8784     | 0.4286     | 0.6679     | 28     | 47     |
| half              | 0.7948     | 0.5909     | 0.7300     | 22     | 25     |
| neon              | 0.7519     | 0.5769     | 0.7526     | 26     | 120    |
| spotless          | 0.8196     | 0.9048     | 0.8086     | 42     | 37     |
| balancing         | 0.8867     | 0.8889     | 0.8535     | 27     | 55     |
| leftover          | 0.1183     | 0.1000     | 0.4925     | 10     | 133    |
| rumpled           | 0.6155     | 0.6222     | 0.6479     | 45     | 80     |
| stuffed           | 0.8409     | 0.8690     | 0.8609     | 84     | 233    |
| knitted           | 0.7294     | 0.6000     | 0.7043     | 15     | 69     |
| barren            | 0.7803     | 0.5556     | 0.7378     | 18     | 41     |
| worn              | 0.6850     | 0.6389     | 0.7412     | 72     | 219    |
| cheesy            | 1.0000     | 1.0000     | 1.0000     | 15     | 10     |
| gray metal        | 0.6174     | 0.1765     | 0.5432     | 34     | 64     |
| antique           | 0.8267     | 0.5455     | 0.7361     | 33     | 41     |
| turned off        | 0.7954     | 0.7111     | 0.7950     | 45     | 91     |
| shredded          | 0.4144     | 0.7222     | 0.5608     | 18     | 37     |
| lined up          | 0.8370     | 0.5556     | 0.6881     | 27     | 19     |
| ancient           | 0.8877     | 0.5556     | 0.7500     | 18     | 40     |
| splashing         | 0.9759     | 0.9500     | 0.9037     | 40     | 34     |
| crocheted         | 0.6818     | 0.9000     | 0.8083     | 10     | 60     |
| selling           | 0.7251     | 0.6154     | 0.7974     | 13     | 97     |
